Apmere Mwerre,0H5,Access Point (Indigenous),IO,Apmere Mwerre Visitor Park; 15 Len Kittle Dve,Alice Springs,870,NT,PO Box 1945 Alice Springs NT 0871,Sun:12:00 to 12:00;Mon:12:00 to 12:00;Tue:12:00 to 12:00;Wed:12:00 to 12:00;Thu:12:00 to 12:00;Fri:12:00 to 12:00;Sat:12:00 to 12:00;,133.86596,-23.74345
Batchelor,04H,Access Point (Indigenous),IO,Nurndina St,Batchelor,845,NT,C/- Post Office Batchelor NT 0845,Sun:Closed;Mon:8:30 to 5:00;Tue:8:30 to 5:00;Wed:8:30 to 5:00;Thu:8:30 to 5:00;Fri:8:30 to 5:00;Sat:Closed;,131.02776,-13.04641
Bonya,0HJ,Access Point (Indigenous),IO,Baikal/Bonya Community House; Plenty River,Anatye,872,NT,Bonya PMB 69 via Alice Springs NT 0872,Sun:Closed;Mon:8:30 to 4:30;Tue:8:30 to 4:30;Wed:8:30 to 4:30;Thu:8:30 to 4:30;Fri:8:30 to 4:30;Sat:Closed;,136.1939,-23.068
Cape Barren,7CT,Access Point (Indigenous),IO,1 The Esplanade,Cape Barren Island,7257,TAS,Cape Barren Island Aboriginal Association C/O Post Office Cape Barren Island  TAS  7257,Sun:Closed;Mon:9:00 to 4:30;Tue:9:00 to 4:30;Wed:9:00 to 4:30;Thu:9:00 to 4:30;Fri:9:00 to 4:30;Sat:Closed;,148.0271,-40.369
Cummeragunja,3QK,Access Point (Indigenous),IO,10 Tongala Rd,Barmah,3639,VIC,C/O Post Office Barmah VIC 3639,Sun:Closed;Mon:9:00 to 4:00;Tue:9:00 to 4:00;Wed:9:00 to 4:00;Thu:9:00 to 4:00;Fri:9:00 to 2:00;Sat:Closed;,144.96134,-36.02731
Dunjiba,5H6,Access Point (Indigenous),IO,Dunjiba Community Council ; Ikartuka Tce,Oodnadatta,5734,SA,Dunjiba Community Council C/- Post Office Oodnadatta SA 5734,Sun:Closed;Mon:9:00 to 5:00;Tue:9:00 to 5:00;Wed:9:00 to 5:00;Thu:9:00 to 5:00;Fri:9:00 to 5:00;Sat:Closed;,135.4477,-27.548
Frog Hollow,6RR,Access Point (Indigenous),IO,Purnululu Aboriginal School; Great Northern Hwy,Ord River,6770,WA,PO Box 440 Kununurra WA 6743,Sun:Closed;Mon:7:00 to 2:30;Tue:7:00 to 2:30;Wed:7:00 to 2:30;Thu:7:00 to 2:30;Fri:7:00 to 2:30;Sat:Closed;,128.05101,-17.27521
Gascoyne Junction,6A4,Access Point (Indigenous),IO,Upper Gascoyne Shire Office; 4 Scott St,Gascoyne Junction,6705,WA,Lot 4 Scott St Gascoyne Junction WA 6705,Sun:Closed;Mon:8:30 to 4:30;Tue:8:30 to 4:30;Wed:8:30 to 4:30;Thu:8:30 to 4:30;Fri:8:30 to 4:30;Sat:Closed;,115.209,-25.052
Gordonvale,49X,Access Point (Indigenous),IO,84 Gordon St,Gordonvale,4865,QLD,84 Gordon St Gordonvale QLD 4865,Sun:Closed;Mon:8:00 to 4:00;Tue:8:00 to 4:00;Wed:8:00 to 4:00;Thu:8:00 to 4:00;Fri:Closed;Sat:Closed;,145.78763,-17.09161
Humpty Doo,0TA,Access Point (Indigenous),IO,The Bush Shop; 340 Arnhem Hwy,Humpty Doo,836,NT,PO Box 100 Humpty Doo NT 0836,Sun:Closed;Mon:8:00 to 5:00;Tue:8:00 to 5:00;Wed:8:00 to 5:00;Thu:8:00 to 5:00;Fri:8:00 to 5:00;Sat:Closed;,130.68893,-13.75054
